#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 708000      6.24e-02      2.39e-04      1.75e-02      4.67e-03    3.0e-07
 710000      1.38e-01      8.34e-05      2.37e-02      1.07e-02    2.8e-07
 712000      1.04e-01      2.49e-04      5.24e-03      8.17e-03    2.8e-07
 714000      1.65e-01      5.56e-04      6.17e-02      1.18e-02    2.8e-07
 716000      8.90e-02      2.39e-04      1.10e-02      6.97e-03    2.7e-07
 718000      1.54e-01      6.39e-04      2.72e-02      1.19e-02    2.7e-07
 720000      3.13e-02      3.21e-04      2.49e-02      1.07e-03    2.5e-07
 722000      1.60e-01      4.66e-04      4.05e-02      1.21e-02    2.5e-07
 724000      1.78e-01      5.84e-05      7.39e-03      1.41e-02    2.5e-07
 726000      9.35e-02      1.67e-04      1.17e-02      7.32e-03    2.4e-07
 728000      1.51e-01      1.50e-04      2.51e-02      1.18e-02    2.4e-07
 730000      5.80e-02      3.85e-04      1.60e-02      4.35e-03    2.2e-07
 732000      9.20e-02      7.52e-05      4.14e-02      6.30e-03    2.2e-07
 734000      9.87e-02      3.96e-05      3.82e-02      7.05e-03    2.2e-07
 736000      1.18e-01      2.34e-04      2.51e-02      9.04e-03    2.1e-07
 738000      9.94e-02      2.19e-04      1.41e-02      7.76e-03    2.1e-07
 740000      1.61e-01      1.12e-03      5.97e-02      1.15e-02    2.0e-07
 742000      1.46e-01      2.25e-04      1.95e-02      1.14e-02    2.0e-07
 744000      1.07e-01      4.35e-04      1.27e-02      8.37e-03    2.0e-07
 746000      4.77e-02      4.12e-04      1.70e-02      3.45e-03    1.9e-07
 748000      5.79e-02      3.22e-05      3.70e-02      3.28e-03    1.9e-07
 750000      1.51e-01      3.08e-04      1.41e-02      1.19e-02    1.8e-07
 752000      6.10e-02      5.11e-04      9.55e-03      4.73e-03    1.8e-07
 754000      6.53e-02      4.78e-04      1.55e-02      4.97e-03    1.8e-07
 756000      2.68e-01      2.62e-05      3.58e-02      2.09e-02    1.7e-07
 758000      1.84e-01      7.53e-04      4.94e-02      1.39e-02    1.7e-07
 760000      1.04e-01      2.12e-04      9.85e-03      8.16e-03    1.6e-07
 762000      7.34e-02      1.93e-05      1.88e-02      5.58e-03    1.6e-07
 764000      1.61e-01      6.47e-04      5.13e-02      1.19e-02    1.6e-07
 766000      9.15e-02      6.61e-04      7.16e-03      7.18e-03    1.5e-07
 768000      5.26e-02      6.64e-04      3.21e-02      3.07e-03    1.5e-07
 770000      1.98e-01      3.01e-04      3.14e-02      1.55e-02    1.4e-07
 772000      1.25e-01      3.81e-04      3.79e-02      9.37e-03    1.4e-07
 774000      1.32e-01      2.79e-04      4.17e-02      9.81e-03    1.4e-07
 776000      1.65e-01      2.00e-04      1.38e-02      1.30e-02    1.3e-07
 778000      1.50e-01      8.92e-04      5.28e-02      1.10e-02    1.3e-07
 780000      1.51e-01      4.64e-04      5.44e-02      1.10e-02    1.3e-07
 782000      8.68e-02      3.18e-04      2.60e-02      6.49e-03    1.3e-07
 784000      2.05e-01      2.28e-04      2.10e-02      1.61e-02    1.3e-07
 786000      5.29e-02      3.57e-04      1.55e-02      3.96e-03    1.2e-07
 788000      1.05e-01      4.51e-04      6.63e-02      6.14e-03    1.2e-07
 790000      1.45e-01      1.25e-04      1.44e-02      1.14e-02    1.1e-07
 792000      9.74e-02      3.79e-04      6.49e-03      7.67e-03    1.1e-07
 794000      6.42e-02      5.24e-04      3.83e-02      3.91e-03    1.1e-07
 796000      5.06e-02      4.07e-04      7.94e-03      3.92e-03    1.1e-07
 798000      1.07e-01      2.79e-04      3.96e-02      7.81e-03    1.1e-07
 800000      1.20e-01      2.61e-04      1.74e-02      9.34e-03    1.0e-07
 802000      5.49e-02      4.99e-04      3.87e-02      2.88e-03    1.0e-07
 804000      8.36e-02      1.10e-03      3.25e-02      5.93e-03    1.0e-07
 806000      5.96e-02      9.54e-05      1.51e-02      4.54e-03    9.4e-08
 808000      9.72e-02      2.04e-05      1.99e-02      7.51e-03    9.4e-08
 810000      9.45e-02      3.06e-04      1.12e-02      7.41e-03    8.9e-08
 812000      1.03e-01      3.40e-04      1.69e-02      7.98e-03    8.9e-08
 814000      2.02e-01      7.11e-04      3.75e-02      1.56e-02    8.9e-08
 816000      1.74e-01      5.16e-04      5.50e-02      1.30e-02    8.4e-08
 818000      1.72e-01      1.65e-04      1.96e-02      1.35e-02    8.4e-08
 820000      9.34e-02      3.74e-04      1.17e-02      7.32e-03    7.9e-08
 822000      7.63e-02      2.54e-04      1.83e-02      5.83e-03    7.9e-08
 824000      1.39e-01      1.22e-03      5.17e-02      1.01e-02    7.9e-08
 826000      2.48e-01      9.26e-04      3.97e-02      1.93e-02    7.5e-08
 828000      1.24e-01      2.51e-04      2.33e-02      9.60e-03    7.5e-08
 830000      9.85e-02      3.29e-04      7.09e-03      7.76e-03    7.1e-08
 832000      2.39e-01      1.20e-04      1.94e-02      1.88e-02    7.1e-08
 834000      2.83e-01      4.74e-04      2.33e-02      2.23e-02    7.1e-08
 836000      1.08e-01      6.89e-04      4.21e-02      7.76e-03    6.7e-08
 838000      1.41e-01      5.43e-04      3.63e-02      1.07e-02    6.7e-08
 840000      8.92e-02      4.18e-04      6.85e-03      7.02e-03    6.3e-08
 842000      1.18e-01      2.30e-04      1.80e-02      9.24e-03    6.3e-08
 844000      1.35e-01      3.86e-04      3.94e-02      1.01e-02    6.3e-08
 846000      2.23e-01      6.86e-04      3.20e-02      1.74e-02    6.0e-08
 848000      2.73e-02      5.17e-04      8.60e-03      1.97e-03    6.0e-08
 850000      7.39e-02      5.24e-04      6.67e-03      5.79e-03    5.6e-08
 852000      5.69e-02      2.86e-04      5.15e-03      4.47e-03    5.6e-08
 854000      7.89e-02      5.21e-04      4.43e-02      5.07e-03    5.6e-08
 856000      1.83e-01      3.20e-04      3.54e-02      1.42e-02    5.3e-08
 858000      1.19e-01      4.78e-04      6.37e-03      9.41e-03    5.3e-08
 860000      9.08e-02      4.82e-04      1.35e-02      7.08e-03    5.0e-08
 862000      8.63e-02      3.28e-04      1.98e-02      6.62e-03    5.0e-08
 864000      9.58e-02      1.56e-05      2.38e-02      7.33e-03    5.0e-08
 866000      1.05e-01      1.22e-04      1.88e-02      8.17e-03    4.7e-08
 868000      1.61e-01      5.19e-05      3.20e-02      1.24e-02    4.7e-08
 870000      1.58e-01      4.52e-05      2.91e-02      1.23e-02    4.5e-08
 872000      9.77e-02      1.08e-04      4.28e-02      6.90e-03    4.5e-08
 874000      1.08e-01      1.50e-04      6.56e-03      8.48e-03    4.5e-08
 876000      4.12e-02      2.72e-04      1.95e-02      2.84e-03    4.2e-08
 878000      9.63e-02      3.49e-04      1.65e-02      7.49e-03    4.2e-08
 880000      1.28e-01      1.01e-03      4.69e-02      9.33e-03    4.0e-08
 882000      1.27e-01      2.14e-04      1.38e-02      9.95e-03    4.0e-08
 884000      6.36e-02      4.13e-04      1.89e-02      4.77e-03    4.0e-08
 886000      1.08e-01      3.50e-04      1.85e-02      8.41e-03    3.8e-08
 888000      2.00e-01      1.19e-04      1.52e-02      1.57e-02    3.8e-08
 890000      3.33e-02      1.75e-04      2.24e-02      1.91e-03    3.5e-08
 892000      1.47e-01      1.70e-04      2.47e-02      1.14e-02    3.5e-08
 894000      9.89e-02      3.23e-04      1.21e-02      7.75e-03    3.5e-08
 896000      1.76e-01      7.90e-04      4.94e-02      1.33e-02    3.3e-08
 898000      1.13e-01      6.92e-04      2.01e-02      8.78e-03    3.3e-08
 900000      2.23e-01      2.54e-04      1.96e-02      1.76e-02    3.2e-08
 902000      2.12e-01      8.76e-04      4.58e-02      1.63e-02    3.2e-08
 904000      1.89e-01      5.24e-04      4.81e-02      1.44e-02    3.2e-08
 906000      1.78e-01      3.16e-04      1.88e-02      1.40e-02    3.0e-08
 908000      4.95e-02      3.58e-04      1.28e-02      3.76e-03    3.0e-08
 910000      2.10e-01      1.17e-04      2.03e-02      1.66e-02    2.8e-08
 912000      1.24e-01      3.17e-04      2.80e-02      9.50e-03    2.8e-08
 914000      2.26e-01      9.18e-04      5.27e-02      1.74e-02    2.8e-08
 916000      1.89e-01      1.52e-04      1.81e-02      1.48e-02    2.7e-08
 918000      1.52e-01      3.83e-04      1.18e-02      1.20e-02    2.7e-08
 920000      2.13e-01      9.88e-05      2.49e-02      1.67e-02    2.5e-08
 922000      9.77e-02      6.66e-04      3.86e-02      7.04e-03    2.5e-08
 924000      1.67e-01      7.16e-04      3.46e-02      1.29e-02    2.5e-08
 926000      5.85e-02      3.36e-04      1.46e-02      4.47e-03    2.4e-08
 928000      1.02e-01      1.93e-04      1.54e-02      7.98e-03    2.4e-08
 930000      5.22e-02      4.95e-04      8.32e-03      4.04e-03    2.2e-08
 932000      1.03e-01      3.76e-04      2.01e-02      7.99e-03    2.2e-08
 934000      1.10e-01      6.73e-04      5.80e-02      7.35e-03    2.2e-08
 936000      2.27e-02      3.56e-04      1.50e-02      1.28e-03    2.1e-08
 938000      1.83e-01      7.07e-04      3.95e-02      1.41e-02    2.1e-08
 940000      1.30e-01      3.78e-05      3.39e-02      9.91e-03    2.0e-08
 942000      1.42e-01      2.01e-04      2.03e-02      1.11e-02    2.0e-08
 944000      1.19e-01      2.61e-06      4.02e-02      8.83e-03    2.0e-08
 946000      1.81e-01      4.00e-04      4.50e-02      1.39e-02    1.9e-08
 948000      8.09e-02      1.04e-03      4.11e-02      5.39e-03    1.9e-08
 950000      1.06e-01      2.08e-04      2.15e-02      8.19e-03    1.8e-08
 952000      4.91e-02      4.63e-04      6.12e-03      3.82e-03    1.8e-08
 954000      1.18e-01      4.24e-04      6.35e-02      7.86e-03    1.8e-08
 956000      1.47e-01      6.53e-04      4.29e-02      1.11e-02    1.7e-08
 958000      6.62e-02      2.63e-04      1.50e-02      5.09e-03    1.7e-08
 960000      1.09e-01      1.89e-05      4.36e-02      7.86e-03    1.6e-08
 962000      1.02e-01      1.20e-03      6.44e-02      6.09e-03    1.6e-08
 964000      9.67e-02      7.95e-04      4.59e-02      6.67e-03    1.6e-08
 966000      1.48e-01      2.63e-04      1.25e-02      1.17e-02    1.5e-08
 968000      1.63e-01      5.82e-04      3.91e-02      1.25e-02    1.5e-08
 970000      5.86e-02      3.69e-04      1.22e-02      4.51e-03    1.4e-08
 972000      1.97e-01      1.58e-04      1.67e-02      1.55e-02    1.4e-08
 974000      2.04e-01      2.22e-04      5.57e-02      1.55e-02    1.4e-08
 976000      1.62e-01      2.27e-04      1.86e-02      1.27e-02    1.3e-08
 978000      1.72e-01      2.19e-04      2.81e-02      1.34e-02    1.3e-08
 980000      2.03e-01      7.11e-05      2.15e-02      1.60e-02    1.3e-08
 982000      1.52e-01      3.71e-04      8.18e-03      1.20e-02    1.3e-08
 984000      1.47e-01      6.02e-04      4.12e-02      1.11e-02    1.3e-08
 986000      1.56e-01      3.17e-04      3.98e-02      1.19e-02    1.2e-08
 988000      8.23e-02      2.17e-04      2.82e-02      6.11e-03    1.2e-08
 990000      8.19e-02      4.12e-04      4.53e-02      5.36e-03    1.1e-08
 992000      1.44e-01      1.66e-04      4.40e-02      1.09e-02    1.1e-08
 994000      1.84e-01      2.52e-04      1.78e-02      1.45e-02    1.1e-08
 996000      1.05e-01      7.02e-04      3.78e-02      7.69e-03    1.1e-08
 998000      6.20e-02      3.39e-04      4.81e-02      3.06e-03    1.1e-08
1000000      2.21e-01      7.60e-05      1.87e-02      1.74e-02    1.0e-08
