#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 162000      2.16e-01      3.46e-03      1.48e-02      8.67e-03    1.6e-04
 164000      2.24e-01      3.55e-03      1.19e-02      1.38e-02    1.6e-04
 166000      2.32e-01      2.33e-03      1.48e-02      1.22e-02    1.5e-04
 168000      2.88e-01      1.05e-03      2.23e-02      7.61e-03    1.5e-04
 170000      3.18e-01      3.12e-03      1.78e-02      1.99e-02    1.4e-04
 172000      1.38e-01      4.16e-03      7.40e-03      8.01e-03    1.4e-04
 174000      4.95e-01      1.59e-03      3.85e-02      1.57e-02    1.4e-04
 176000      3.05e-01      3.34e-04      2.34e-02      1.18e-02    1.3e-04
 178000      2.39e-01      1.15e-03      1.47e-02      1.42e-02    1.3e-04
 180000      2.39e-01      2.48e-03      1.92e-02      8.32e-03    1.3e-04
 182000      1.76e-01      1.16e-03      6.78e-03      1.34e-02    1.3e-04
 184000      4.35e-01      1.07e-03      3.49e-02      1.57e-02    1.3e-04
 186000      2.83e-01      3.04e-03      1.76e-02      1.72e-02    1.2e-04
 188000      1.69e-01      2.12e-03      1.25e-02      8.03e-03    1.2e-04
 190000      2.33e-01      2.18e-03      1.93e-02      8.90e-03    1.1e-04
 192000      2.78e-01      1.36e-03      1.88e-02      1.61e-02    1.1e-04
 194000      6.37e-01      7.89e-04      5.74e-02      1.52e-02    1.1e-04
 196000      4.24e-01      3.92e-04      3.90e-02      1.10e-02    1.1e-04
 198000      1.39e-01      7.52e-04      5.65e-03      1.05e-02    1.1e-04
 200000      1.42e-01      3.04e-04      7.12e-03      1.02e-02    1.0e-04
 202000      1.51e-01      8.30e-05      1.03e-02      9.22e-03    1.0e-04
 204000      5.09e-01      1.98e-03      4.97e-02      7.98e-03    1.0e-04
 206000      1.89e-01      1.64e-03      1.66e-02      7.95e-03    9.4e-05
 208000      3.80e-01      2.86e-04      3.54e-02      1.31e-02    9.4e-05
 210000      2.26e-01      3.90e-04      1.82e-02      1.20e-02    8.9e-05
 212000      1.64e-01      6.08e-04      9.52e-03      1.13e-02    8.9e-05
 214000      2.65e-01      3.72e-04      1.90e-02      1.60e-02    8.9e-05
 216000      2.47e-01      1.15e-03      2.45e-02      8.12e-03    8.4e-05
 218000      1.45e-01      1.40e-05      1.15e-02      8.19e-03    8.4e-05
 220000      4.13e-01      1.60e-03      4.35e-02      1.12e-02    7.9e-05
 222000      1.59e-01      2.37e-03      9.61e-03      1.08e-02    7.9e-05
 224000      2.94e-01      2.45e-03      3.01e-02      9.42e-03    7.9e-05
 226000      2.26e-01      3.21e-04      1.88e-02      1.28e-02    7.5e-05
 228000      1.33e-01      2.57e-03      1.36e-02      4.28e-03    7.5e-05
 230000      1.46e-01      8.31e-04      1.56e-02      5.15e-03    7.1e-05
 232000      2.07e-01      6.56e-04      1.81e-02      1.13e-02    7.1e-05
 234000      1.67e-01      5.52e-04      1.54e-02      8.57e-03    7.1e-05
 236000      1.89e-01      2.49e-04      1.22e-02      1.30e-02    6.7e-05
 238000      3.69e-01      7.08e-04      3.70e-02      1.71e-02    6.7e-05
 240000      3.78e-01      3.01e-03      3.45e-02      2.08e-02    6.3e-05
 242000      1.66e-01      1.72e-03      7.58e-03      1.25e-02    6.3e-05
 244000      4.42e-01      5.04e-03      5.34e-02      7.71e-03    6.3e-05
 246000      1.38e-01      1.55e-03      1.15e-02      8.40e-03    6.0e-05
 248000      1.12e-01      1.70e-03      8.02e-03      7.43e-03    6.0e-05
 250000      3.07e-01      1.72e-03      3.49e-02      1.27e-02    5.6e-05
 252000      1.75e-01      1.04e-03      1.61e-02      1.01e-02    5.6e-05
 254000      1.56e-01      8.25e-04      1.06e-02      1.08e-02    5.6e-05
 256000      1.42e-01      7.87e-04      9.92e-03      9.85e-03    5.3e-05
 258000      3.27e-01      4.82e-04      3.88e-02      1.31e-02    5.3e-05
 260000      1.68e-01      1.03e-03      2.01e-02      7.04e-03    5.0e-05
 262000      3.54e-01      3.16e-03      4.75e-02      7.39e-03    5.0e-05
 264000      4.07e-01      9.35e-04      5.51e-02      8.09e-03    5.0e-05
 266000      2.64e-01      1.22e-03      3.26e-02      1.08e-02    4.7e-05
 268000      1.78e-01      6.96e-04      2.03e-02      8.72e-03    4.7e-05
 270000      1.35e-01      2.02e-03      1.69e-02      5.55e-03    4.5e-05
 272000      2.05e-01      9.32e-04      2.66e-02      7.98e-03    4.5e-05
 274000      2.03e-01      1.58e-04      1.74e-02      1.33e-02    4.5e-05
 276000      1.30e-01      2.93e-03      5.38e-03      9.68e-03    4.2e-05
 278000      1.69e-01      2.24e-03      1.60e-02      1.05e-02    4.2e-05
 280000      1.23e-01      1.55e-04      1.39e-02      6.84e-03    4.0e-05
 282000      9.29e-02      2.69e-03      4.61e-03      6.57e-03    4.0e-05
 284000      1.65e-01      2.50e-03      2.03e-02      7.89e-03    4.0e-05
 286000      2.42e-01      1.48e-03      1.97e-02      1.67e-02    3.8e-05
 288000      1.27e-01      1.25e-03      5.72e-03      9.78e-03    3.8e-05
 290000      2.31e-01      2.32e-03      3.61e-02      5.85e-03    3.5e-05
 292000      2.70e-01      9.83e-04      3.76e-02      1.17e-02    3.5e-05
 294000      1.17e-01      1.57e-04      1.41e-02      6.43e-03    3.5e-05
 296000      3.04e-01      1.80e-03      4.92e-02      7.35e-03    3.3e-05
 298000      2.15e-01      5.69e-04      2.31e-02      1.34e-02    3.3e-05
 300000      2.51e-01      5.28e-04      2.61e-02      1.62e-02    3.2e-05
 302000      1.54e-01      2.12e-03      1.52e-02      9.99e-03    3.2e-05
 304000      1.77e-01      3.40e-04      2.09e-02      1.05e-02    3.2e-05
 306000      1.27e-01      1.94e-06      1.50e-02      7.63e-03    3.0e-05
 308000      2.64e-01      7.18e-04      3.31e-02      1.52e-02    3.0e-05
 310000      9.72e-02      1.22e-03      1.08e-02      6.10e-03    2.8e-05
 312000      1.58e-01      1.36e-03      1.80e-02      9.92e-03    2.8e-05
 314000      2.00e-01      2.88e-04      1.84e-02      1.39e-02    2.8e-05
 316000      1.35e-01      2.12e-03      1.89e-02      7.01e-03    2.7e-05
 318000      2.98e-01      2.07e-03      4.69e-02      1.33e-02    2.7e-05
 320000      2.35e-01      1.33e-03      3.04e-02      1.40e-02    2.5e-05
 322000      1.12e-01      1.19e-03      9.25e-03      8.06e-03    2.5e-05
 324000      1.01e-01      1.37e-04      1.76e-02      3.77e-03    2.5e-05
 326000      1.09e-01      1.48e-03      9.37e-03      7.74e-03    2.4e-05
 328000      3.24e-01      4.91e-04      6.24e-02      7.45e-03    2.4e-05
 330000      1.41e-01      1.28e-03      2.03e-02      8.03e-03    2.2e-05
 332000      8.08e-02      1.25e-03      1.43e-02      3.11e-03    2.2e-05
 334000      1.47e-01      9.89e-04      2.04e-02      8.66e-03    2.2e-05
 336000      9.64e-02      5.12e-04      1.70e-02      4.27e-03    2.1e-05
 338000      1.23e-01      6.03e-04      1.36e-02      8.42e-03    2.1e-05
 340000      8.29e-02      1.94e-03      1.44e-02      3.54e-03    2.0e-05
 342000      1.14e-01      1.54e-03      2.04e-02      4.94e-03    2.0e-05
 344000      1.22e-01      2.54e-04      1.51e-02      7.98e-03    2.0e-05
 346000      2.91e-01      5.67e-04      3.54e-02      1.95e-02    1.9e-05
 348000      1.95e-01      4.36e-04      1.97e-02      1.39e-02    1.9e-05
 350000      6.53e-02      3.35e-05      1.07e-02      3.66e-03    1.8e-05
 352000      1.61e-01      2.23e-04      2.80e-02      8.46e-03    1.8e-05
 354000      1.82e-01      5.60e-04      2.40e-02      1.19e-02    1.8e-05
 356000      1.48e-01      5.11e-04      2.79e-02      7.16e-03    1.7e-05
 358000      1.75e-01      2.81e-05      3.84e-02      5.22e-03    1.7e-05
 360000      1.35e-01      6.89e-04      9.88e-03      1.02e-02    1.6e-05
 362000      7.43e-02      6.05e-04      8.26e-03      5.24e-03    1.6e-05
 364000      1.15e-01      2.91e-04      2.02e-02      6.32e-03    1.6e-05
 366000      8.67e-02      2.71e-04      1.17e-02      5.81e-03    1.5e-05
 368000      7.02e-02      2.14e-05      7.20e-03      5.10e-03    1.5e-05
 370000      1.50e-01      3.60e-04      2.07e-02      1.01e-02    1.4e-05
 372000      1.01e-01      2.95e-05      1.09e-02      7.31e-03    1.4e-05
 374000      2.12e-01      3.77e-04      4.45e-02      9.72e-03    1.4e-05
 376000      1.42e-01      9.48e-04      1.52e-02      1.03e-02    1.3e-05
 378000      2.16e-01      2.53e-04      4.06e-02      1.20e-02    1.3e-05
 380000      6.74e-02      1.62e-03      8.76e-03      4.42e-03    1.3e-05
 382000      1.84e-01      1.68e-04      2.52e-02      1.27e-02    1.3e-05
 384000      1.84e-01      7.83e-04      5.66e-03      1.45e-02    1.3e-05
 386000      1.03e-01      1.78e-03      2.06e-02      5.36e-03    1.2e-05
 388000      2.23e-01      5.56e-04      3.72e-02      1.42e-02    1.2e-05
 390000      1.67e-01      5.19e-04      4.29e-02      5.76e-03    1.1e-05
 392000      1.43e-01      2.57e-04      2.77e-02      8.38e-03    1.1e-05
 394000      6.65e-02      1.30e-03      9.22e-03      4.43e-03    1.1e-05
 396000      1.52e-01      8.63e-04      2.40e-02      1.02e-02    1.1e-05
 398000      1.11e-01      1.22e-04      1.86e-02      7.21e-03    1.1e-05
 400000      1.95e-01      7.67e-04      2.00e-02      1.46e-02    1.0e-05
 402000      1.13e-01      1.57e-03      1.93e-02      7.23e-03    1.0e-05
 404000      2.37e-01      9.16e-05      6.10e-03      1.88e-02    1.0e-05
 406000      1.52e-01      5.84e-05      2.97e-02      9.36e-03    9.4e-06
 408000      1.22e-01      3.84e-04      1.49e-02      8.89e-03    9.4e-06
 410000      2.41e-01      2.37e-03      5.96e-02      1.18e-02    8.9e-06
 412000      1.30e-01      2.77e-05      4.92e-03      1.03e-02    8.9e-06
 414000      1.41e-01      5.38e-04      7.74e-03      1.10e-02    8.9e-06
 416000      5.62e-02      4.41e-04      1.53e-02      2.41e-03    8.4e-06
 418000      7.44e-02      1.78e-04      1.64e-02      4.35e-03    8.4e-06
 420000      1.76e-01      1.13e-03      1.04e-02      1.37e-02    7.9e-06
 422000      1.30e-01      2.90e-04      1.28e-02      9.84e-03    7.9e-06
 424000      1.52e-01      4.04e-04      1.23e-02      1.17e-02    7.9e-06
 426000      7.41e-02      2.74e-04      1.84e-02      4.04e-03    7.5e-06
 428000      8.19e-02      3.03e-04      1.27e-02      5.80e-03    7.5e-06
 430000      1.62e-01      5.27e-04      1.54e-02      1.24e-02    7.1e-06
 432000      1.22e-01      5.27e-04      1.38e-02      9.15e-03    7.1e-06
 434000      1.36e-01      8.19e-04      2.15e-02      9.59e-03    7.1e-06
 436000      2.49e-01      1.74e-04      3.01e-02      1.86e-02    6.7e-06
 438000      1.15e-01      7.36e-04      2.48e-02      7.30e-03    6.7e-06
 440000      7.41e-02      5.63e-04      1.14e-02      5.32e-03    6.3e-06
 442000      7.81e-02      1.16e-04      8.10e-03      5.94e-03    6.3e-06
 444000      7.81e-02      9.20e-04      1.49e-02      5.22e-03    6.3e-06
 446000      1.40e-01      1.92e-04      2.16e-02      1.01e-02    6.0e-06
 448000      8.36e-02      4.77e-04      6.11e-03      6.48e-03    6.0e-06
 450000      2.97e-02      1.69e-04      9.53e-03      1.31e-03    5.6e-06
 452000      1.57e-01      6.97e-04      2.16e-02      1.16e-02    5.6e-06
 454000      1.78e-01      1.54e-04      1.18e-02      1.39e-02    5.6e-06
 456000      1.82e-01      4.73e-04      1.89e-02      1.39e-02    5.3e-06
 458000      1.04e-01      5.03e-05      3.62e-02      4.07e-03    5.3e-06
 460000      9.23e-02      5.78e-04      1.32e-02      6.83e-03    5.0e-06
 462000      2.62e-01      5.35e-04      4.88e-02      1.85e-02    5.0e-06
 464000      1.39e-01      6.29e-04      3.88e-02      7.97e-03    5.0e-06
 466000      1.37e-01      5.67e-04      2.19e-02      1.00e-02    4.7e-06
 468000      2.27e-01      5.18e-04      5.27e-02      1.50e-02    4.7e-06
 470000      8.98e-02      3.53e-04      5.46e-03      7.03e-03    4.5e-06
 472000      4.69e-02      2.50e-04      6.22e-03      3.53e-03    4.5e-06
 474000      1.25e-01      9.49e-04      1.95e-02      9.20e-03    4.5e-06
 476000      4.43e-02      1.61e-03      7.88e-03      2.77e-03    4.2e-06
 478000      1.95e-01      3.55e-04      4.95e-02      1.26e-02    4.2e-06
 480000      2.45e-01      8.61e-04      1.61e-02      1.92e-02    4.0e-06
 482000      4.30e-02      5.45e-05      6.43e-03      3.21e-03    4.0e-06
 484000      1.22e-01      3.82e-04      1.67e-02      9.23e-03    4.0e-06
 486000      1.17e-01      1.29e-04      1.30e-02      9.01e-03    3.8e-06
 488000      5.53e-02      3.80e-04      7.62e-03      4.16e-03    3.8e-06
 490000      1.35e-01      7.87e-04      1.68e-02      1.03e-02    3.5e-06
 492000      1.08e-01      3.32e-04      4.26e-02      4.58e-03    3.5e-06
 494000      1.34e-01      1.66e-04      2.05e-02      1.00e-02    3.5e-06
 496000      1.28e-01      6.72e-04      1.99e-02      9.55e-03    3.3e-06
 498000      1.07e-01      4.75e-05      6.95e-03      8.42e-03    3.3e-06
 500000      9.77e-02      1.08e-03      3.52e-03      7.64e-03    3.2e-06
 502000      1.48e-01      3.33e-04      2.71e-02      1.09e-02    3.2e-06
 504000      1.05e-01      9.40e-04      1.99e-02      7.60e-03    3.2e-06
 506000      6.95e-02      7.73e-04      1.78e-02      4.67e-03    3.0e-06
 508000      9.45e-02      6.22e-04      3.47e-02      5.05e-03    3.0e-06
 510000      7.09e-02      1.15e-04      1.26e-02      5.26e-03    2.8e-06
 512000      1.47e-01      1.20e-03      3.74e-02      1.00e-02    2.8e-06
 514000      9.27e-02      6.55e-05      4.74e-03      7.30e-03    2.8e-06
 516000      1.73e-01      8.86e-04      6.29e-02      9.80e-03    2.7e-06
 518000      9.41e-02      2.51e-04      1.15e-02      7.24e-03    2.7e-06
 520000      2.74e-01      5.07e-04      4.79e-02      2.05e-02    2.5e-06
 522000      9.50e-02      5.99e-04      9.93e-03      7.35e-03    2.5e-06
 524000      1.50e-01      3.66e-04      2.16e-02      1.15e-02    2.5e-06
 526000      1.62e-01      2.54e-04      1.84e-02      1.25e-02    2.4e-06
 528000      1.81e-01      1.23e-03      7.23e-02      9.68e-03    2.4e-06
 530000      5.11e-02      6.83e-04      1.72e-02      3.15e-03    2.2e-06
 532000      2.36e-01      9.23e-04      3.66e-02      1.79e-02    2.2e-06
 534000      1.04e-01      3.23e-04      1.12e-02      8.04e-03    2.2e-06
